Name, a (au), e, i (deg), O (deg), w (deg), d0 (au), k (Re/yr), phi0 (deg), epsilon (au), eta, MEI
2023 BX7, 1.793, 0.469, 19.071, 312.348, 211.204, 0.012658, 0.1740, 331.4, 0.002836, 0.2132, 3.4
2023 BY7, 1.382, 0.360, 30.588, 321.763, 264.884, 0.143595, 0.3274, 322.2, 0.000292, 0.0020, 7.3
2023 BZ7, 1.259, 0.194, 16.598, 315.050, 188.324, 0.030829, 0.0911, 353.8, 0.000306, 0.0098, 5.1
2023 BA8, 1.850, 0.359, 10.279, 150.584, 350.280, 0.199860, 0.0547, 354.9, 0.001270, 0.0063, 7.3
2023 BB8, 1.439, 0.413, 1.981, 74.878, 120.392, 0.003294, 0.2802, 263.5, 0.000428, 0.0954, 2.2
2023 BC8, 2.024, 0.541, 15.761, 326.778, 211.074, 0.008502, -1.5611, 142.8, 0.007441, 0.6876, 0.5
2023 BJ8, 1.310, 0.397, 28.291, 322.670, 349.328, 0.216953, 0.0031, 171.5, 0.000290, 0.0013, 8.0
2023 BK8, 1.191, 0.286, 5.128, 96.573, 109.660, 0.006318, 0.4166, 250.3, 0.000288, 0.0352, 3.3
2023 BL8, 1.481, 0.288, 20.886, 315.950, 196.779, 0.077213, 0.0679, 348.9, 0.000465, 0.0060, 6.1
2023 BM8, 1.095, 0.243, 14.359, 1.690, 38.228, 0.123292, -0.2806, 208.9, 0.000211, 0.0017, 7.3
2023 BN8, 1.620, 0.420, 7.894, 117.396, 336.502, 0.014696, 0.3772, 135.3, 0.000554, 0.0338, 4.3
2023 BO8, 1.562, 0.370, 6.203, 317.738, 198.758, 0.008841, 0.2772, 321.8, 0.000670, 0.0655, 3.3
2023 BP8, 1.965, 0.711, 17.149, 38.268, 3.754, 0.290800, -0.7582, 106.7, 0.000659, 0.0023, 8.4
2023 BR8, 2.196, 0.640, 1.250, 12.826, 49.616, 0.004684, -0.6873, 266.8, 0.000467, 0.1435, 0.3
2023 BS8, 1.913, 0.324, 21.036, 322.139, 93.253, 0.494343, -0.5952, 48.9, 0.000911, 0.0019, 9.4
2023 BD9, 1.990, 0.373, 8.590, 159.628, 10.384, 0.258181, 0.1832, 7.1, 0.003542, 0.0137, 8.4
2023 BE9, 1.503, 0.313, 22.257, 132.449, 328.788, 0.079991, -0.0986, 342.7, 0.000399, 0.0050, 6.2
2023 BW9, 0.662, 0.586, 30.134, 114.452, 216.066, 0.105696, 0.3486, 136.7, 0.000089, 0.0008, 7.3
2023 BX9, 1.360, 0.270, 7.295, 89.826, 99.976, 0.089044, -0.4388, 59.4, 0.000275, 0.0032, 6.3
2023 BY9, 1.097, 0.055, 44.440, 330.434, 347.086, 0.026482, -0.0081, 358.3, 0.000163, 0.0062, 5.0
2023 BA10, 2.541, 0.809, 12.057, 341.857, 287.238, 0.053413, 18.0565, --, 0.026736, 0.2380, 5.8
2023 BD10, 1.371, 0.146, 25.366, 314.687, 181.407, 0.185466, 0.0100, 358.6, 0.000227, 0.0012, 7.0
2023 BE10, 2.862, 0.638, 4.344, 22.928, 144.374, 0.028717, 0.6477, --, 0.041057, 1.0796, 0.7
2023 BH10, 1.740, 0.289, 28.364, 312.654, 104.001, 0.432679, -0.1963, 34.1, 0.000626, 0.0014, 9.2
2023 BK10, 2.244, 0.713, 12.123, 270.717, 301.439, 0.087076, 4.3272, --, 0.005714, 0.0544, 6.7
2023 BL10, 1.060, 0.036, 7.386, 123.388, 323.167, 0.043142, -0.2897, 353.0, 0.001061, 0.0252, 5.3
2023 BN10, 2.471, 0.477, 8.105, 329.383, 194.280, 0.249229, 20.1134, 351.9, 0.053134, 0.1477, 8.8
2023 BC11, 2.975, 0.572, 22.010, 21.125, 108.811, 0.436957, 3.2192, --, 0.023064, 0.0502, 9.7
2023 BK17, 0.621, 0.712, 4.563, 91.549, 220.922, 0.034421, 0.7046, 98.9, 0.000392, 0.0105, 5.4
2023 CA, 1.768, 0.536, 0.971, 117.104, 314.251, 0.003771, 0.0917, 92.9, 0.000136, 0.0331, 2.1
2023 CB, 2.027, 0.498, 8.255, 128.790, 13.576, 0.034404, 0.1687, --, 0.007404, 0.2085, 5.5
2023 CC, 0.866, 0.314, 3.620, 325.507, 302.801, 0.009186, -0.5063, 102.0, 0.000262, 0.0364, 2.3
